"CO2 emissions by sector in Slovenia",Value,Year,Units
"Commercial and Public Services",0.814,2003, Mt CO2
"Commercial and Public Services",0.828,2004, Mt CO2
"Commercial and Public Services",0.719,2005, Mt CO2
"Commercial and Public Services",0.591,2006, Mt CO2
"Commercial and Public Services",0.39,2007, Mt CO2
"Commercial and Public Services",0.643,2008, Mt CO2
"Commercial and Public Services",0.61,2009, Mt CO2
"Commercial and Public Services",0.648,2010, Mt CO2
"Commercial and Public Services",0.562,2011, Mt CO2
"Commercial and Public Services",0.368,2012, Mt CO2
"Commercial and Public Services",0.374,2013, Mt CO2
"Commercial and Public Services",0.3,2014, Mt CO2
"Commercial and Public Services",0.345,2015, Mt CO2
"Commercial and Public Services",0.421,2016, Mt CO2
"Commercial and Public Services",0.319,2017, Mt CO2
"Commercial and Public Services",0.287,2018, Mt CO2
"Commercial and Public Services",0.257,2019, Mt CO2
"Commercial and Public Services",0.263,2020, Mt CO2
"Commercial and Public Services",0.201,2021, Mt CO2
"Commercial and Public Services",0.227,2022, Mt CO2
"Agriculture/Forestry",0.239,2000, Mt CO2
"Agriculture/Forestry",0.236,2001, Mt CO2
"Agriculture/Forestry",0.233,2002, Mt CO2
"Agriculture/Forestry",0.242,2003, Mt CO2
"Agriculture/Forestry",0.226,2004, Mt CO2
"Agriculture/Forestry",0.23,2005, Mt CO2
"Agriculture/Forestry",0.233,2006, Mt CO2
"Agriculture/Forestry",0.23,2007, Mt CO2
"Agriculture/Forestry",0.236,2008, Mt CO2
"Agriculture/Forestry",0.204,2009, Mt CO2
"Agriculture/Forestry",0.207,2010, Mt CO2
"Agriculture/Forestry",0.201,2011, Mt CO2
"Agriculture/Forestry",0.211,2012, Mt CO2
"Agriculture/Forestry",0.207,2013, Mt CO2
"Agriculture/Forestry",0.22,2014, Mt CO2
"Agriculture/Forestry",0.22,2015, Mt CO2
"Agriculture/Forestry",0.217,2016, Mt CO2
"Agriculture/Forestry",0.217,2017, Mt CO2
"Agriculture/Forestry",0.217,2018, Mt CO2
"Agriculture/Forestry",0.215,2019, Mt CO2
"Agriculture/Forestry",0.21,2020, Mt CO2
"Agriculture/Forestry",0.21,2021, Mt CO2
"Agriculture/Forestry",0.212,2022, Mt CO2
"Fishing",0,2000, Mt CO2
"Fishing",0,2001, Mt CO2
"Fishing",0,2002, Mt CO2
"Fishing",0,2003, Mt CO2
"Fishing",0,2004, Mt CO2
"Fishing",0,2005, Mt CO2
"Fishing",0,2006, Mt CO2
"Fishing",0,2007, Mt CO2
"Fishing",0,2008, Mt CO2
"Fishing",0,2009, Mt CO2
"Fishing",0,2010, Mt CO2
"Fishing",0,2011, Mt CO2
"Fishing",0,2012, Mt CO2
"Fishing",0,2013, Mt CO2
"Fishing",0,2014, Mt CO2
"Fishing",0,2015, Mt CO2
"Fishing",0,2016, Mt CO2
"Fishing",0,2017, Mt CO2
"Fishing",0,2018, Mt CO2
"Fishing",0,2019, Mt CO2
"Fishing",0,2020, Mt CO2
"Fishing",0,2021, Mt CO2
"Fishing",,2022, Mt CO2
"Non-specified (Other)",0.113,2000, Mt CO2
"Non-specified (Other)",0.11,2001, Mt CO2
"Non-specified (Other)",0.075,2002, Mt CO2
"Non-specified (Other)",0.061,2003, Mt CO2
"Non-specified (Other)",0.061,2004, Mt CO2
"Non-specified (Other)",0.058,2005, Mt CO2
"Non-specified (Other)",0.052,2006, Mt CO2
"Non-specified (Other)",0.084,2007, Mt CO2
"Non-specified (Other)",0.064,2008, Mt CO2
"Non-specified (Other)",0.063,2009, Mt CO2
"Non-specified (Other)",0.075,2010, Mt CO2
"Non-specified (Other)",0.043,2011, Mt CO2
"Non-specified (Other)",0.06,2012, Mt CO2
"Non-specified (Other)",0.049,2013, Mt CO2
"Non-specified (Other)",0.049,2014, Mt CO2
"Non-specified (Other)",0.052,2015, Mt CO2
"Non-specified (Other)",0.043,2016, Mt CO2
"Non-specified (Other)",0.05,2017, Mt CO2
"Non-specified (Other)",0.067,2018, Mt CO2
"Non-specified (Other)",0.082,2019, Mt CO2
"Non-specified (Other)",0.068,2020, Mt CO2
"Non-specified (Other)",0.05,2021, Mt CO2
"Non-specified (Other)",0.06,2022, Mt CO2
"Other energy industries",0.07,2000, Mt CO2
"Other energy industries",0.012,2001, Mt CO2
"Other energy industries",0.012,2002, Mt CO2
"Other energy industries",0.01,2003, Mt CO2
"Other energy industries",0.01,2004, Mt CO2
"Other energy industries",0.008,2005, Mt CO2
"Other energy industries",0.008,2006, Mt CO2
"Other energy industries",0.006,2007, Mt CO2
"Other energy industries",0.006,2008, Mt CO2
"Other energy industries",0.006,2009, Mt CO2
"Other energy industries",0.014,2010, Mt CO2
"Other energy industries",0.004,2011, Mt CO2
"Other energy industries",0.004,2012, Mt CO2
"Other energy industries",0.006,2013, Mt CO2
"Other energy industries",0.006,2014, Mt CO2
"Other energy industries",0.006,2015, Mt CO2
"Other energy industries",0,2016, Mt CO2
"Other energy industries",0,2017, Mt CO2
"Other energy industries",0.002,2018, Mt CO2
"Other energy industries",0.001,2019, Mt CO2
"Other energy industries",0.002,2020, Mt CO2
"Other energy industries",0.002,2021, Mt CO2
"Other energy industries",0.001,2022, Mt CO2
